Name,meta_score,user_review,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre
BioShock Infinite,94,8.6,2013,386,2.22,1.56,0.06,0.54,4.39,Shooter
Final Fantasy IX,94,8.4,2000,295,1.62,0.77,2.78,0.14,5.3,Role-Playing
Call of Duty: Modern Warfare 2,94,5.9,2009,18,13.52,8.11,0.46,3.01,25.09,Shooter
Tony Hawk's Pro Skater 4,94,8.1,2002,256,3.58,1.75,0.01,0.42,5.75,Sports
Devil May Cry,94,8.4,2001,621,1.36,0.86,0.64,0.13,2.99,Action
Call of Duty 4: Modern Warfare,94,7.9,2007,35,9.97,5.82,0.42,2.05,18.25,Shooter
Madden NFL 2002,94,7.0,2001,216,4.92,0.93,0.01,0.57,6.41,Sports
Madden NFL 2004,94,7.4,2003,175,5.9,0.46,0.01,0.78,7.14,Sports
Gears of War,94,8.0,2006,233,3.54,1.91,0.07,0.6,6.13,Shooter
The Elder Scrolls IV: Oblivion,94,8.4,2006,146,4.52,2.12,0.27,0.87,7.77,Role-Playing
Halo 3,94,8.1,2007,70,7.97,2.83,0.13,1.21,12.14,Shooter
Ninja Gaiden Black,94,8.8,2005,7819,0.07,0.02,0.0,0.0,0.09,Action
Street Fighter IV,94,7.5,2009,169,3.91,1.81,0.73,0.81,7.27,Fighting
Metal Gear Solid,94,9.0,1998,235,3.18,1.83,0.85,0.24,6.1,Action
